,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3618,0.539,0.714,5,-4.543,1,0.455,0.288,0.0,0.174,0.458,81.709,audio_features,7DKJP7ksSaJn4YyBkcBDii,spotify:track:7DKJP7ksSaJn4YyBkcBDii,https://api.spotify.com/v1/tracks/7DKJP7ksSaJn4YyBkcBDii,https://api.spotify.com/v1/audio-analysis/7DKJP7ksSaJn4YyBkcBDii,255609,4
3619,0.789,0.693,6,-9.263,1,0.262,0.483,7.79e-05,0.241,0.665,88.01,audio_features,3tmpJN9fGVkrhlNkZVgH90,spotify:track:3tmpJN9fGVkrhlNkZVgH90,https://api.spotify.com/v1/tracks/3tmpJN9fGVkrhlNkZVgH90,https://api.spotify.com/v1/audio-analysis/3tmpJN9fGVkrhlNkZVgH90,185455,4
3620,0.603,0.795,2,-5.685,0,0.263,0.108,0.0,0.236,0.559,126.856,audio_features,3kjBpFB5bLhWWC1OTJhMMU,spotify:track:3kjBpFB5bLhWWC1OTJhMMU,https://api.spotify.com/v1/tracks/3kjBpFB5bLhWWC1OTJhMMU,https://api.spotify.com/v1/audio-analysis/3kjBpFB5bLhWWC1OTJhMMU,163311,4
3621,0.484,0.77,8,-6.176,1,0.543,0.636,0.0,0.477,0.883,77.067,audio_features,2jbrK1JBiL4EupGFeHzazt,spotify:track:2jbrK1JBiL4EupGFeHzazt,https://api.spotify.com/v1/tracks/2jbrK1JBiL4EupGFeHzazt,https://api.spotify.com/v1/audio-analysis/2jbrK1JBiL4EupGFeHzazt,92333,4
3622,0.823,0.62,0,-6.219,1,0.0671,0.000132,0.000354,0.0866,0.194,140.082,audio_features,2aOG6jVZnTqZwEhjGTcFMM,spotify:track:2aOG6jVZnTqZwEhjGTcFMM,https://api.spotify.com/v1/tracks/2aOG6jVZnTqZwEhjGTcFMM,https://api.spotify.com/v1/audio-analysis/2aOG6jVZnTqZwEhjGTcFMM,180076,4
3623,0.777,0.703,11,-6.863,0,0.0485,0.14,1.34e-05,0.235,0.662,135.985,audio_features,5GJS3CY3aqbT9j2lv434aQ,spotify:track:5GJS3CY3aqbT9j2lv434aQ,https://api.spotify.com/v1/tracks/5GJS3CY3aqbT9j2lv434aQ,https://api.spotify.com/v1/audio-analysis/5GJS3CY3aqbT9j2lv434aQ,226116,4
3624,0.957,0.528,7,-6.025,0,0.128,0.162,1.3e-06,0.615,0.687,130.001,audio_features,4GSyA0YDBON0qD8fvqmPan,spotify:track:4GSyA0YDBON0qD8fvqmPan,https://api.spotify.com/v1/tracks/4GSyA0YDBON0qD8fvqmPan,https://api.spotify.com/v1/audio-analysis/4GSyA0YDBON0qD8fvqmPan,147692,4
3625,0.838,0.634,6,-8.4,1,0.16,0.0764,0.0,0.104,0.917,137.068,audio_features,536R5L9YMmxAMvIrBleqZ9,spotify:track:536R5L9YMmxAMvIrBleqZ9,https://api.spotify.com/v1/tracks/536R5L9YMmxAMvIrBleqZ9,https://api.spotify.com/v1/audio-analysis/536R5L9YMmxAMvIrBleqZ9,193139,4
3626,0.627,0.726,9,-6.314,0,0.17,0.2,0.000446,0.293,0.617,81.003,audio_features,3c1sfDYFzlTGTnyVjUZNl1,spotify:track:3c1sfDYFzlTGTnyVjUZNl1,https://api.spotify.com/v1/tracks/3c1sfDYFzlTGTnyVjUZNl1,https://api.spotify.com/v1/audio-analysis/3c1sfDYFzlTGTnyVjUZNl1,149074,4
3627,0.411,0.699,4,-6.644,0,0.378,0.161,0.0,0.235,0.457,75.176,audio_features,7klycPYjcy8FSQcIZTAVNy,spotify:track:7klycPYjcy8FSQcIZTAVNy,https://api.spotify.com/v1/tracks/7klycPYjcy8FSQcIZTAVNy,https://api.spotify.com/v1/audio-analysis/7klycPYjcy8FSQcIZTAVNy,267173,1
