,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
154,0.393,0.649,4,-9.103,0,0.0541,0.69,0.0,0.159,0.697,114.054,audio_features,2WhRJwrsy57H5Mm1P3lykJ,spotify:track:2WhRJwrsy57H5Mm1P3lykJ,https://api.spotify.com/v1/tracks/2WhRJwrsy57H5Mm1P3lykJ,https://api.spotify.com/v1/audio-analysis/2WhRJwrsy57H5Mm1P3lykJ,177840,4
155,0.527,0.923,2,-7.458,1,0.0379,0.000541,0.765,0.127,0.899,146.924,audio_features,34iOH7LY3vme5rQxsVILZ4,spotify:track:34iOH7LY3vme5rQxsVILZ4,https://api.spotify.com/v1/tracks/34iOH7LY3vme5rQxsVILZ4,https://api.spotify.com/v1/audio-analysis/34iOH7LY3vme5rQxsVILZ4,208453,4
156,0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,audio_features,43R4zUjfnrz0rjlcdzir3D,spotify:track:43R4zUjfnrz0rjlcdzir3D,https://api.spotify.com/v1/tracks/43R4zUjfnrz0rjlcdzir3D,https://api.spotify.com/v1/audio-analysis/43R4zUjfnrz0rjlcdzir3D,254293,4
157,0.266,0.831,4,-9.07,1,0.0453,0.000862,0.0,0.0555,0.778,175.514,audio_features,5YUJMvTg4AWHKjqQidTsGK,spotify:track:5YUJMvTg4AWHKjqQidTsGK,https://api.spotify.com/v1/tracks/5YUJMvTg4AWHKjqQidTsGK,https://api.spotify.com/v1/audio-analysis/5YUJMvTg4AWHKjqQidTsGK,163693,4
158,0.614,0.721,0,-8.962,1,0.0322,0.000642,0.0817,0.167,0.708,146.629,audio_features,5bxBosfOC3upyOK9tjxZ35,spotify:track:5bxBosfOC3upyOK9tjxZ35,https://api.spotify.com/v1/tracks/5bxBosfOC3upyOK9tjxZ35,https://api.spotify.com/v1/audio-analysis/5bxBosfOC3upyOK9tjxZ35,175907,4
159,0.324,0.967,6,-5.655,1,0.0774,0.0278,0.000269,0.0566,0.392,165.92,audio_features,3aInErz06eEAbRHMnsORR2,spotify:track:3aInErz06eEAbRHMnsORR2,https://api.spotify.com/v1/tracks/3aInErz06eEAbRHMnsORR2,https://api.spotify.com/v1/audio-analysis/3aInErz06eEAbRHMnsORR2,244320,4
160,0.721,0.521,2,-8.123,1,0.0613,0.0708,0.00545,0.127,0.942,123.118,audio_features,1i6N76fftMZhijOzFQ5ZtL,spotify:track:1i6N76fftMZhijOzFQ5ZtL,https://api.spotify.com/v1/tracks/1i6N76fftMZhijOzFQ5ZtL,https://api.spotify.com/v1/audio-analysis/1i6N76fftMZhijOzFQ5ZtL,261413,4
161,0.667,0.804,2,-8.583,1,0.0398,0.0328,0.0544,0.0632,0.759,105.799,audio_features,1vP2JEXRsGrFbwOZ0foOQ5,spotify:track:1vP2JEXRsGrFbwOZ0foOQ5,https://api.spotify.com/v1/tracks/1vP2JEXRsGrFbwOZ0foOQ5,https://api.spotify.com/v1/audio-analysis/1vP2JEXRsGrFbwOZ0foOQ5,184382,4
162,0.428,0.899,9,-10.716,1,0.0462,0.00609,0.0,0.279,0.724,135.248,audio_features,66hdYurKbEfP74fvWtR7mj,spotify:track:66hdYurKbEfP74fvWtR7mj,https://api.spotify.com/v1/tracks/66hdYurKbEfP74fvWtR7mj,https://api.spotify.com/v1/audio-analysis/66hdYurKbEfP74fvWtR7mj,221347,4
163,0.325,0.688,4,-12.473,1,0.117,0.179,0.000104,0.137,0.378,156.349,audio_features,0PDZ4Rgj36MxVgvoMv3sk5,spotify:track:0PDZ4Rgj36MxVgvoMv3sk5,https://api.spotify.com/v1/tracks/0PDZ4Rgj36MxVgvoMv3sk5,https://api.spotify.com/v1/audio-analysis/0PDZ4Rgj36MxVgvoMv3sk5,180093,4
164,0.498,0.889,0,-5.413,1,0.0546,0.0947,1.62e-06,0.733,0.696,134.88,audio_features,15BQ7vEDv2LJuh8TxWIhtd,spotify:track:15BQ7vEDv2LJuh8TxWIhtd,https://api.spotify.com/v1/tracks/15BQ7vEDv2LJuh8TxWIhtd,https://api.spotify.com/v1/audio-analysis/15BQ7vEDv2LJuh8TxWIhtd,283360,4
