,Playlist,Followers,Songs,Genre 1,Genre 2,URI,Song URI,Popularity,Artist Name,Song Name
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:2gyWRxnmsdfPKlwu1x1YAy,43,Between You & Me,Deadbeat
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:7KGCp5rReukE5rsPhoF8wJ,40,Belmont,Bowser's Castle
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:4kktxKYY6MQK6rNlEvNl2o,45,TITUS,SiCK ABOuT U
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:2RIdz4Q2Ij10tT7DRJjTa6,39,Futuristic,Gucci
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:2hym6qBXvGwg0VnI7HuZot,45,Ryan Oakes,DEAD ASTRONAUT
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:373GdfW6KshUwMjxk4JtKp,39,Senses Fail,I'm Sorry I'm Leaving
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:3RuNatnCCHe7LS5QTNnJJu,41,Ryan Oakes,WE'RE NOT STRANGERS
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:7spqZfs1HsUWUTVr43Fr0i,41,Goody Grace,Hold Me in the Moonlight
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:6X6CxZ2XbfayOg2ldlBEJV,38,Meet Me @ The Altar,Brighter Days (Are Before Us)
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:5kWxexqLsP9izjOxZre9iD,38,Super American,together
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:14U3GHjvw3Bk9HDeEBdrur,41,Story Untold,Don't Fall In Love With Me
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:5YTCpQnzU6OiQqLndUuIBT,41,7evin7ins,Love You Like I Used To
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:7qhIVH6Vov1CxFX7X7s8RM,40,Smrtdeath,sober
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:2TIsg3maE0ssdgjsc8qh8O,36,Bronnie,Friendzone
